Category,Product_ID,Sales_Quantity,Sales_Price,Sale_Date,Customer_ID,Supplier_ID
Electronics,107781,39,954.08,2024-04-15,AHAH,YYX
Electronics,585919,49,828.08,2024-03-03,GCHB,XZZ
Groceries,796466,35,729.41,2023-12-09,FHHA,YYZ
Electronics,452488,89,514.27,2023-10-29,GEAE,WXZ
Clothing,447015,23,121.4,2023-09-13,HGHG,ZZX
Home Appliances,430609,38,10.3,2024-04-27,FECE,ZYY
Clothing,513759,72,795.57,2024-04-06,CHHF,ZXZ
Groceries,029488,27,16.29,2023-11-15,CBAB,ZYX
Groceries,991945,38,697.59,2023-05-19,BADC,YWY
Electronics,913375,64,496.94,2024-02-03,GCFA,ZZW
Clothing,910373,42,720.11,2024-03-30,CEGF,ZZX
Clothing,580738,2,691.15,2024-04-02,EGEH,XZZ
Electronics,703350,54,650.45,2024-03-18,DFGH,WXZ
Clothing,179661,28,261.11,2024-03-07,DBBF,WWY
Groceries,775513,4,795.39,2023-09-08,BDCH,WWW
Groceries,755561,4,354.54,2023-12-16,FFCH,WXW
Electronics,988521,81,127.69,2024-04-19,DHHC,XZZ
Electronics,401587,28,508.81,2023-05-31,FFGD,XXW
Home Appliances,813506,62,412.55,2024-04-27,EFED,YXW
Electronics,603346,67,999.85,2023-08-17,DBGE,WXZ
Electronics,097838,61,619.07,2024-01-11,GAGH,YZW
Electronics,835281,8,101.47,2023-08-14,BDHC,XWZ
Groceries,408763,43,535.99,2024-02-28,BDDH,WYZ
Groceries,895540,48,188.27,2024-05-04,FAGE,YZZ
Groceries,763612,39,886.23,2023-09-04,HADC,YYX
Electronics,111559,69,760.53,2023-06-26,BDBD,ZYZ
Groceries,639480,98,283.56,2023-12-12,AEAF,ZYY
Groceries,245266,56,628.45,2023-12-29,CEAD,YZX
Groceries,290445,81,971.57,2023-09-02,BABE,ZWY
Home Appliances,653168,43,510.37,2024-04-25,EFCE,YXW
Home Appliances,178915,73,740.67,2024-04-27,EAHF,XXX
Groceries,302259,53,394.29,2023-06-16,EEGF,ZWX
Electronics,707676,58,678.01,2023-06-02,EHDE,YYW
Groceries,408618,73,264.06,2023-05-17,DAGF,ZWW
Clothing,717363,26,153.36,2024-04-19,AEAD,XXZ
Clothing,359005,92,614.84,2024-05-10,GDBD,XZY
Electronics,733421,51,703.13,2023-12-12,FBCD,WYZ
Clothing,176727,86,203.06,2024-02-25,DAHH,ZXY
Clothing,040699,32,264.4,2024-03-18,GECA,YYX
Electronics,082034,78,242.94,2024-01-06,EABA,YYW
Clothing,671827,93,510.01,2024-04-11,FFEH,WWY
Groceries,820480,69,62.65,2024-04-30,FDAE,YWZ
Clothing,506682,70,769.36,2023-06-09,EHAG,XZW
Clothing,607819,25,729.89,2024-02-16,HGHF,ZWX
Groceries,402451,69,353.57,2024-03-28,FGFE,YYX
Groceries,207167,23,202.74,2024-01-18,DFDA,XZZ
Groceries,284919,23,290.25,2023-11-18,CFEB,XXX
Groceries,489330,3,338.37,2023-07-24,AFEF,XYZ
Home Appliances,296371,90,795.15,2023-11-02,EGDE,ZWY
Clothing,212708,83,567.81,2024-01-27,DHCA,XYX
Electronics,554900,76,777.46,2023-05-25,GADD,YWZ
Electronics,993962,5,420.83,2023-05-17,AFHA,ZWY
Clothing,233071,6,193.26,2023-10-07,AFGG,YWX
Electronics,919949,87,561.63,2023-11-18,ACFH,ZXZ
Home Appliances,177795,52,853.85,2023-11-26,GHBD,XWX
Groceries,606145,39,156.29,2023-07-27,GGEE,XZZ
Groceries,952435,68,336.52,2023-07-19,FBCA,XYW
Groceries,652496,26,77.98,2024-01-06,BBFG,XXZ
Home Appliances,149734,85,945.79,2023-11-25,FAHC,WWZ
Clothing,551710,44,331.13,2023-08-07,BAAA,XZZ
Clothing,375761,99,423.84,2024-05-06,ADAF,YYZ
Groceries,082685,61,906.52,2023-08-17,DHCC,ZWX
Home Appliances,159306,27,209.63,2023-08-06,BCGE,ZWW
Groceries,541291,32,611.12,2023-06-23,EDCF,ZYW
Electronics,662789,76,890.28,2024-01-06,GACH,ZXZ
Groceries,925333,99,568.92,2024-02-13,DHHG,YYW
Groceries,994328,19,323.21,2023-05-18,DHEA,YYZ
Clothing,964029,74,578.38,2023-08-03,BEFB,YZX
Home Appliances,627272,39,411.98,2024-04-16,DEEF,YZX
Electronics,144666,48,66.78,2023-05-24,FBAE,YWW
Clothing,773805,53,52.63,2024-01-20,ABGF,WXY
Clothing,393099,87,302.52,2023-05-22,HGDH,XWW
Clothing,449249,87,101.01,2024-04-03,FFHG,ZXW
Groceries,273510,78,145.53,2023-06-26,CCCB,YZW
Clothing,188329,99,112.96,2024-05-03,GABB,XYX
Electronics,444437,70,521.67,2023-06-22,FFBB,ZWY
Electronics,961176,3,417.51,2023-07-31,BAEB,YWW
Groceries,861164,20,175.18,2023-10-11,GEAF,WZX
Clothing,390613,52,518.01,2023-09-12,CGHE,XWY
Electronics,440226,45,597.1,2024-01-27,AFHE,ZXZ
Home Appliances,203339,95,142.65,2024-04-02,CAGD,XXY
Groceries,957306,94,377.55,2023-10-04,BCEC,XZY
Groceries,529716,71,984.58,2023-08-22,GDGD,XXW
Electronics,307281,88,626.11,2024-03-29,BFAB,WWY
Clothing,855807,16,13.19,2023-12-20,FADF,ZZW
Home Appliances,621615,32,775.93,2024-03-10,ADAF,YWZ
Electronics,114316,29,463.96,2024-04-20,GCFE,XZX
Clothing,243524,49,286.12,2024-01-07,DABA,YYX
Groceries,102375,51,172.67,2023-08-10,ACBC,XYX
Groceries,779910,30,692.4,2024-04-30,CDEA,WXW
Electronics,892851,31,727.88,2024-03-20,GCAD,WWW
Electronics,368969,14,218.03,2023-12-22,BBCA,YXY
Clothing,559149,13,115.93,2024-01-27,BEDC,WZX
Clothing,976542,55,549.03,2023-06-22,GCBG,ZWX
Home Appliances,316170,71,197.0,2023-12-31,DBCA,WWW
Home Appliances,854589,75,369.54,2023-11-15,ADAG,ZXW
Clothing,725999,26,412.04,2024-04-21,CFAB,YYZ
Electronics,799617,90,255.37,2024-03-18,AEAF,WWX
Home Appliances,516811,30,485.15,2023-09-21,CCAC,WWW
Clothing,121209,54,278.2,2023-07-25,DGFH,YWW
Clothing,762617,22,983.81,2023-12-30,BAHD,WWY
Groceries,527909,65,43.16,2023-12-29,AFGH,ZYY
Groceries,286009,46,754.84,2023-05-22,DAHE,YXW
Home Appliances,899063,73,675.88,2023-11-02,CAFG,ZYZ
Home Appliances,771725,89,56.7,2023-10-18,DGBF,ZYW
Clothing,049300,80,716.64,2023-08-16,GCCA,WWY
Groceries,187558,71,651.44,2023-10-17,HACC,ZYW
Groceries,618253,11,919.27,2023-10-23,EDGE,ZYX
Home Appliances,252238,78,544.32,2023-12-14,CABE,WWX
Groceries,154938,11,500.05,2023-07-19,BAAH,XZW
Home Appliances,503801,94,56.37,2024-04-11,HGBF,WXZ
Clothing,061868,61,299.28,2023-10-31,GCBA,WYY
Home Appliances,751604,31,265.98,2023-09-01,EBAC,YYZ
Electronics,528317,39,819.07,2024-05-11,DGHE,XYX
Groceries,215378,82,189.47,2023-11-20,ACEG,WYY
Electronics,448143,63,793.17,2024-02-08,HFHC,WWZ
Groceries,506153,53,497.53,2023-11-02,GHBC,YZW
Groceries,971806,65,546.27,2023-11-22,AHAA,ZWY
Groceries,771515,33,514.35,2024-02-26,EBBD,YXX
Clothing,574988,35,130.01,2024-05-10,GBEA,ZZY
Groceries,022756,2,37.23,2024-04-20,BCDC,WXX
Electronics,702217,25,769.3,2024-03-04,HEDD,YYW
Clothing,947590,86,79.69,2024-04-01,EACC,WXW
Electronics,540507,42,959.56,2024-05-04,BBCE,XYW
Clothing,198031,54,174.43,2024-05-02,EHCG,ZXZ
Clothing,845883,95,36.73,2024-04-25,FFHA,ZZX
Groceries,872942,62,545.62,2023-07-26,ABDE,YZZ
Home Appliances,298282,68,339.68,2023-09-06,HGAF,WXY
Electronics,200091,31,245.65,2024-02-09,FFGG,XYW
Groceries,501785,53,850.59,2023-12-05,ACGD,YYW
Electronics,707127,81,116.0,2023-08-17,FFFF,XYY
Groceries,964225,80,677.27,2023-06-06,CEHD,ZYW
Clothing,666270,20,565.11,2023-08-01,BEEE,YZZ
Clothing,681539,24,685.12,2023-07-17,GBHA,YYZ
Home Appliances,235820,97,775.84,2023-10-22,EFAD,XZZ
Groceries,008553,73,851.45,2024-01-10,FHAC,YXZ
Groceries,644517,78,880.54,2024-03-11,ABDH,ZXX
Clothing,335813,6,76.48,2023-12-30,AGDE,YWY
Groceries,766049,89,197.01,2023-06-19,GBGD,YZY
Electronics,896083,64,813.57,2023-11-01,GAFC,WWZ
Clothing,740433,20,199.48,2024-05-06,DBDE,YWW
Electronics,247749,68,835.98,2024-05-05,CBBE,ZZY
Electronics,086946,49,160.05,2024-03-26,CCHB,ZXZ
Electronics,661402,46,37.42,2023-06-30,HBFE,XXY
Electronics,104436,88,552.22,2023-06-28,AFCA,XWX
Clothing,917178,24,605.82,2023-10-26,CHFH,XWZ
Clothing,421448,87,863.48,2023-12-03,GEBB,YZZ
Clothing,710243,91,450.84,2024-01-17,DGHC,XZY
Clothing,282661,97,912.03,2023-11-02,EGAA,ZYX
Electronics,202489,1,621.21,2024-02-18,CACH,XXY
Clothing,476743,76,128.77,2023-12-28,CCGD,WYZ
Groceries,120175,85,172.67,2024-03-22,AEDB,WWX
Groceries,642638,44,795.83,2023-11-26,GDBH,XZX
Home Appliances,650379,78,336.91,2023-10-06,BCAH,WYZ
Home Appliances,969622,39,326.65,2023-07-01,ADCG,WYY
Electronics,410384,58,809.2,2023-12-12,ACBD,ZXY
Groceries,853584,54,918.86,2023-07-07,EDCG,ZYX
Home Appliances,845622,3,314.8,2024-01-10,CBAA,YZZ
Electronics,653955,5,837.19,2023-06-03,ABEA,WWX
Groceries,711175,32,49.29,2023-09-24,AEBG,XWW
Clothing,111878,97,639.92,2023-12-24,GFEF,WYX
Groceries,953101,17,905.46,2023-11-28,HBHB,ZXY
Clothing,000208,64,458.95,2023-05-29,HFAD,WXX
Groceries,209988,11,338.47,2024-02-21,CGEB,ZYY
Clothing,158121,86,420.97,2023-10-16,FFHH,XWW
Home Appliances,781174,46,361.78,2023-11-25,DHFE,YYZ
Electronics,888339,8,557.48,2023-06-14,GBED,WZY
Clothing,607239,71,568.8,2023-08-08,DBFA,XXY
Groceries,037376,84,914.6,2024-03-23,BGHH,WWZ
Electronics,256603,41,213.2,2023-10-31,HBHA,WXX
Groceries,036552,40,387.71,2023-11-22,AGBG,ZZX
Groceries,683327,97,62.52,2024-03-22,BABD,WYY
Clothing,258641,84,775.71,2023-07-12,GFHE,YZY
Electronics,272804,37,323.78,2023-08-01,FHGF,XWX
Electronics,389075,60,642.93,2024-04-17,ADGG,YXY
Groceries,519951,8,551.28,2023-11-30,FFBB,ZWZ
Groceries,880719,14,302.1,2024-03-01,DFBE,YYW
Clothing,815151,76,883.94,2024-04-10,EBFA,XZW
Clothing,225024,96,689.48,2023-08-02,BBAB,XWW
Groceries,443845,99,726.38,2023-05-20,CECC,YWW
Home Appliances,610335,79,399.34,2023-10-07,CFHG,WWX
Electronics,085179,12,325.83,2024-02-20,EFAE,YXX
Home Appliances,728914,5,387.11,2024-03-30,HBFC,WYW
Electronics,232396,52,758.11,2023-09-28,CEHE,ZYZ
Home Appliances,554268,71,923.99,2023-12-08,FACF,ZWZ
Electronics,985727,16,831.27,2024-01-21,HHCF,XYZ
Electronics,148134,57,338.38,2023-12-24,DEFG,ZXW
Groceries,286329,67,546.63,2023-12-06,GDDH,YWW
Groceries,326039,58,618.89,2023-08-09,GCAA,XYZ
Clothing,471784,34,338.53,2023-10-01,DFGD,WZZ
Electronics,992262,83,91.89,2023-12-31,FBHC,ZZX
Groceries,570780,55,484.18,2023-05-26,ECGC,ZZW
Electronics,203880,32,596.1,2023-08-28,BFCF,WZW
Clothing,272683,29,506.2,2023-11-16,BHGB,XZW
Home Appliances,261120,71,620.73,2023-05-17,DEFH,WZW
Electronics,144055,30,642.07,2023-09-11,CADD,YXW
Electronics,924742,22,611.44,2023-07-05,BHDE,YZX
Groceries,618906,20,617.42,2023-05-16,GBHA,YYW
Home Appliances,953706,95,486.47,2024-05-11,BCDH,XZX
Groceries,692024,91,574.35,2024-05-01,BGEE,XYW
Clothing,411668,37,375.34,2023-07-15,HACE,XXX
Clothing,863995,67,824.71,2023-06-19,ADGH,WXY
Clothing,544672,35,236.58,2023-12-14,DEAD,WZX
Groceries,345289,30,238.45,2023-10-30,EDEA,XYW
Groceries,216766,67,184.73,2024-01-02,BDHD,YWY
Electronics,960991,25,14.13,2024-01-15,DFAF,YXZ
Groceries,378569,25,137.97,2023-12-11,AEFF,WZX
Clothing,345517,29,46.42,2024-01-28,DDAF,YYX
Home Appliances,779934,63,79.28,2024-02-05,AEGC,ZZZ
Electronics,198081,84,121.31,2023-11-05,BFBD,YXW
Home Appliances,645287,61,144.68,2023-07-14,HAFC,XZY
Electronics,025226,7,661.76,2023-09-03,GBDD,ZYZ
Electronics,482583,93,773.03,2024-05-10,GHGC,XWW
Home Appliances,402662,20,98.3,2023-08-25,FGHH,XXY
Electronics,376424,56,88.54,2023-10-06,DHEC,ZWX
Groceries,704973,6,921.19,2024-04-04,FGBG,ZZY
Clothing,602147,79,295.81,2023-12-12,GDED,YWX
Clothing,391775,19,342.5,2024-01-03,GGFA,ZWY
Groceries,383154,23,259.21,2024-01-18,FHFH,ZWX
Electronics,621762,16,419.19,2024-01-08,CEHG,ZYY
Groceries,757944,74,986.25,2023-10-21,EFCD,WXZ
Electronics,016495,98,910.91,2023-06-04,EDHE,ZXY
Groceries,859936,61,389.6,2023-12-11,AAEA,WYZ
Electronics,085197,84,583.21,2024-05-04,GDDC,YYZ
Electronics,687161,90,683.22,2023-10-28,DEDF,WYX
Groceries,696450,46,565.2,2023-06-24,ECDC,XZX
Clothing,865819,46,635.37,2023-12-13,HCFE,YXY
Clothing,639496,10,138.65,2023-11-29,DDEH,YZW
Clothing,702576,39,438.68,2023-06-25,EDBA,YXY
Groceries,226618,92,621.19,2023-07-15,HGDA,ZWX
Clothing,466888,64,941.35,2024-02-28,CDHF,ZXX
Clothing,778157,75,695.6,2023-12-08,BBAC,XXY
Electronics,282966,54,105.19,2024-01-01,FFBB,YWY
Clothing,882142,40,238.67,2023-08-25,FEAE,ZWW
Electronics,723754,70,214.62,2024-02-04,HEDG,ZYX
Clothing,778865,34,356.13,2023-09-22,CECA,WWX
Electronics,227935,73,642.59,2024-05-02,FEGB,XXX
Home Appliances,392768,83,223.79,2024-02-22,GHCA,YYZ
Clothing,111205,1,294.61,2023-08-09,GBAG,YYW
Electronics,516243,38,913.33,2024-02-04,BGAB,XZW
Groceries,225018,75,327.02,2024-01-07,CAAF,YWX
Groceries,346407,45,992.4,2024-04-14,AGEA,XXZ
Electronics,855894,33,126.47,2023-11-11,BBCD,ZZW
Groceries,357303,73,559.69,2024-01-03,HBHE,XWZ
Clothing,038218,89,720.34,2023-09-23,GGBC,XXX
Clothing,327407,72,511.08,2024-04-04,CGCE,XYW
Electronics,409665,92,797.39,2024-03-21,CAGH,WWX
Groceries,683031,71,120.0,2024-02-27,DGFC,ZXW
Clothing,730678,35,530.58,2024-04-07,DHFB,ZWZ
Groceries,197989,4,180.12,2023-12-09,HBCF,XZY
Groceries,825672,89,538.52,2023-10-21,ECDA,YYY
Clothing,810972,17,831.14,2024-02-10,CCAB,XYW
Groceries,414345,57,19.72,2024-01-24,DDDC,XXY
Clothing,539605,51,507.24,2023-06-12,HCDA,ZZZ
Clothing,966566,67,441.41,2023-06-24,GFHH,WYX
Home Appliances,153555,72,608.73,2023-06-15,ACEE,ZZW
Electronics,146996,47,395.82,2023-12-10,DEDG,XWW
Groceries,256900,79,136.73,2023-08-11,ABFG,YZZ
Clothing,205387,41,180.72,2023-11-26,CDHA,YXW
Groceries,230800,61,220.08,2023-08-28,DBBB,ZYX
Electronics,660972,62,939.89,2023-09-19,DEEE,ZZZ
Groceries,981079,90,29.79,2023-06-17,BCCB,YYX
Clothing,258603,31,199.08,2023-11-03,AACB,WXZ
Clothing,620465,98,117.3,2024-02-07,ACDF,YZW
Groceries,059560,14,714.6,2024-02-10,HFHA,WZW
Electronics,170937,57,187.05,2023-08-01,GDCH,WZY
Home Appliances,405937,69,620.9,2023-07-19,DBGB,YXW
Home Appliances,250557,86,623.03,2023-09-26,GBFE,WXY
Groceries,262467,51,111.5,2024-04-07,FCDH,WYZ
Groceries,059895,68,239.67,2024-01-30,DEEB,YWY
Home Appliances,193722,63,911.94,2023-11-05,CDCE,ZXW
Groceries,528557,90,806.03,2023-11-20,FHFG,WYW
Electronics,236112,66,177.01,2024-02-08,ACGG,XYX
Electronics,506618,18,584.43,2023-09-21,DHBB,WXY
Groceries,251405,31,755.27,2023-06-23,HEBG,ZZY
Groceries,287790,6,645.95,2023-11-09,AHCF,ZXW
Groceries,066337,5,706.3,2024-03-20,BCBG,YWW
Groceries,984938,22,699.51,2023-10-25,AEHE,XWX
Home Appliances,419095,59,226.48,2023-07-22,BHFE,YYY
Home Appliances,846044,74,793.67,2023-05-30,CHFE,YZX
Electronics,335371,68,881.61,2023-08-23,BHAF,ZXY
Electronics,645209,48,111.28,2023-08-29,EFCE,XYW
Home Appliances,475162,64,403.06,2024-03-07,HBFF,XXX
Groceries,366039,65,436.93,2024-02-07,HDDF,WZZ
Electronics,909676,70,939.83,2024-02-08,HDAF,XYW
Clothing,018266,42,521.97,2023-12-02,CCHG,YWY
Home Appliances,453342,90,850.08,2023-11-16,BEED,WWX
Electronics,828138,68,184.66,2023-08-20,HAGF,XXY
Home Appliances,931077,15,628.58,2023-05-16,DHHA,XXZ
Electronics,112333,60,258.86,2023-09-07,GAHF,YZW
Clothing,277088,63,664.57,2023-05-26,DFBA,XYX
Groceries,639493,9,342.42,2023-07-07,HHGB,ZYY
Groceries,613443,22,881.57,2024-01-06,HCBE,XYZ
Groceries,900294,34,900.98,2024-03-26,BDDC,ZYY
Electronics,831645,91,386.63,2023-09-04,EFCG,WXW
Electronics,288942,99,360.35,2023-07-28,AHGF,WZZ
Home Appliances,096528,85,463.51,2024-02-15,FDBD,XXZ
Groceries,855538,33,676.77,2023-10-24,FDBF,XXW
Groceries,791046,91,916.34,2023-08-04,AEHH,WYX
Electronics,609998,95,419.64,2023-06-09,GHAD,WWZ
Clothing,345678,15,248.91,2023-07-07,DDHA,ZZZ
Electronics,806053,35,180.08,2024-02-08,AGFB,ZYW
Groceries,372380,65,586.72,2024-04-16,EAAF,XYZ
Electronics,784054,71,79.72,2023-12-09,FGCG,WWZ
Groceries,768747,60,122.94,2024-02-21,DEBB,ZYY
Home Appliances,098053,64,252.75,2024-04-23,CGCD,XWW
Electronics,613106,73,397.7,2024-03-25,BFCB,ZZY
Clothing,715367,87,679.91,2024-03-10,BDFH,ZXX
Electronics,626731,77,978.05,2024-04-03,BEFG,WZZ
Electronics,883778,6,822.28,2024-03-17,AACC,ZXY
Groceries,896233,89,274.25,2023-12-07,BBFA,XZW
Electronics,390290,34,185.28,2023-10-14,CAFA,ZYW
Groceries,597382,79,876.67,2023-06-05,BBBC,YYX
Home Appliances,082255,13,689.94,2023-11-08,EBDG,XZZ
Groceries,958356,55,468.45,2023-07-11,FHAB,YXY
Electronics,605680,62,968.71,2023-10-27,CECD,XYX
Clothing,970734,36,178.27,2023-11-18,DCEG,YYX
Electronics,868831,69,139.29,2023-12-25,HCDC,ZXW
Clothing,584530,43,670.6,2023-07-04,FHEH,ZYY
Home Appliances,277412,46,415.08,2024-03-19,DAAD,XZZ
Clothing,057396,59,341.78,2024-01-16,AHEB,WYZ
Groceries,632977,47,400.92,2023-08-06,BBFC,ZXW
Groceries,356490,73,798.19,2023-09-07,AFHB,ZZY
Clothing,803515,99,162.03,2023-08-13,AEAE,XWX
Clothing,695789,25,809.52,2023-09-09,AFDD,XXZ
Electronics,459928,25,628.7,2023-08-28,EHHB,WZZ
Electronics,167790,10,350.6,2023-07-06,AGDD,YZX
Home Appliances,299775,9,956.9,2024-02-26,DCGG,XWZ
Clothing,398622,67,84.18,2023-12-27,GCHD,YWY
Clothing,284558,76,84.51,2023-11-12,DFCA,WWW
Home Appliances,761326,29,616.95,2023-07-29,CBGF,ZZY
Groceries,031833,72,922.02,2024-03-22,ECHC,WYY
Home Appliances,819778,6,595.01,2023-07-20,BGCH,WYZ
Clothing,182588,87,121.97,2024-04-09,CFCA,YZY
Electronics,827132,22,500.8,2024-04-24,EDCG,XYW
Groceries,516559,69,176.43,2023-07-03,GAGC,WZZ
Electronics,924537,40,162.06,2023-07-13,DHGH,XWZ
Clothing,054624,93,22.68,2023-05-27,GGBG,ZYZ
Home Appliances,016220,25,989.1,2024-04-12,CDGE,XZZ
Clothing,988154,27,357.11,2023-08-09,DHAF,WZX
Groceries,929391,83,375.76,2023-05-31,CAHA,XZZ
Clothing,037230,77,442.12,2024-04-20,GDHA,XXZ
Electronics,194363,37,899.45,2024-05-01,FBBG,ZYW
Groceries,307013,11,200.79,2023-10-17,BDBF,WWZ
Groceries,835728,83,32.45,2023-06-22,CCCB,YWX
Groceries,581144,36,722.55,2023-11-24,DDDH,WZZ
Electronics,137546,80,652.6,2023-12-27,GHEE,ZZZ
Electronics,866834,12,557.37,2024-02-23,BABC,YYZ
Electronics,146260,20,530.33,2023-10-04,DHGH,YXX
Groceries,222387,16,853.91,2024-04-27,ACBF,YZX
Home Appliances,064710,85,542.62,2024-02-21,BDFD,XXW
Electronics,078351,9,900.11,2023-07-17,DGFD,WWY
Clothing,919573,82,661.18,2024-03-01,AFHB,XZW
Home Appliances,930958,26,574.46,2024-03-31,GCHA,ZXX
Groceries,200113,4,547.24,2023-09-21,DCDE,XWZ
Groceries,130711,64,260.37,2023-06-09,HBFG,XWY
Clothing,171770,89,503.41,2024-04-08,FAED,XXZ
